ROI,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57554,N57559,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709
0,34.90397,38.30685,31.21915,31.71314,30.9743,28.43446,34.73594,36.94937,33.2373,33.65693,31.46692,26.77544,30.73355,30.156,35.53456,33.49956,36.05242,32.95235,35.00339,33.419,46.55485,42.28547,36.40097,33.84146,32.39175,29.93721,29.30908,29.37861,38.67108,31.98123,34.32752
1,1.003104,1.113639,1.06434,1.007022,1.048029,1.085846,1.15346,1.074182,1.124938,1.046388,1.099059,1.004197,1.118195,1.007934,1.193373,1.012854,1.021056,0.9592729,0.9932625,1.092498,1.18663,1.027708,1.081745,1.043746,1.060057,1.240394,1.098512,1.115917,1.12266,1.018322,1.187085
2,0.4052329,0.3944801,0.4225466,0.4179904,0.4566274,0.4635529,0.4548049,0.4345751,0.4547138,0.4411362,0.468747,0.409698,0.4260094,0.4129785,0.4465125,0.4398604,0.4507043,0.4021346,0.4062352,0.4086956,0.4998206,0.4048684,0.4979981,0.4150744,0.4440521,0.4535291,0.4616393,0.39366,0.460728,0.4491552,0.4508865
3,0.8090078,0.8581241,0.8708817,0.9249188,0.8473714,0.9317532,0.7770229,0.8621336,0.8173001,0.7806679,0.7762939,0.8232233,0.81648,0.8352517,0.8203073,0.7950656,0.8356163,0.7504144,0.780759,0.8517454,0.9285638,0.83835,0.8344316,0.8094634,0.8060918,0.7442179,0.7930609,0.8309689,0.839808,0.8482826,0.8472803
4,0.2834899,0.2949716,0.3152014,0.320031,0.3090049,0.3152014,0.3085493,0.330966,0.3013504,0.3022616,0.3009859,0.3059978,0.2858591,0.3024439,0.2971586,0.3070001,0.3135611,0.2893219,0.2853124,0.2998924,0.3081848,0.2722815,0.317844,0.3097339,0.2868615,0.2684543,0.2775668,0.2804828,0.2896864,0.2949716,0.3038107
5,0.2433038,0.2720081,0.2168775,0.2759265,0.2473133,0.2851301,0.2226184,0.2643536,0.2536009,0.2563346,0.2577015,0.2382008,0.27702,0.2433038,0.3158393,0.2718259,0.2837633,0.2785691,0.2709146,0.2962474,0.2830343,0.2787514,0.265356,0.2751064,0.2700945,0.3174795,0.2564258,0.2817585,0.2965208,0.2837633,0.2649915
6,0.1546391,0.1626581,0.1489894,0.1718618,0.1553681,0.1962833,0.1435219,0.1653919,0.1601066,0.159651,0.1708594,0.1520876,0.1751423,0.1649363,0.2037555,0.1761446,0.1871708,0.1741399,0.1655741,0.1696748,0.1597421,0.1709505,0.1655741,0.1806098,0.1717706,0.1807009,0.158922,0.1754156,0.1973768,0.1889933,0.1553681
7,0.7718288,0.9266502,0.7485919,0.8224943,0.8213096,0.7668169,0.72171,0.7972527,0.8111948,0.7556085,0.8156599,0.7379303,0.7819436,0.8161155,0.8727953,0.8300576,0.8563928,0.8545703,0.8046338,0.7819436,0.9252833,0.860949,0.7673637,0.844182,0.8356163,0.8292375,0.7587979,0.7598914,0.9311153,0.7251728,0.7169715
8,1.538555,1.565072,1.53008,1.648725,1.58275,1.579379,1.589129,1.550036,1.607627,1.531356,1.619838,1.434945,1.566439,1.612639,1.65811,1.650183,1.613277,1.523792,1.47659,1.588127,1.584117,1.673875,1.600246,1.647631,1.58029,1.545753,1.350837,1.530809,1.52607,1.640068,1.444969
9,1.002193,1.269645,1.129859,1.022058,1.057141,1.121658,1.075822,1.087759,1.053223,1.077644,0.9969075,1.012854,1.24176,1.152367,1.234653,1.124756,1.102248,1.021511,1.100517,1.123389,1.165944,1.109265,1.038643,1.086575,1.025247,1.161753,1.004653,1.059055,1.154098,0.9831477,1.268369
10,0.6426135,0.6542775,0.6585604,0.6879938,0.6710445,0.6600184,0.6784257,0.7094082,0.7285444,0.6966506,0.7357433,0.6756919,0.6487189,0.724626,0.6683108,0.6593805,0.6359614,0.6967418,0.6746895,0.7765673,0.6771499,0.6695865,0.688905,0.7384771,0.6857156,0.7361989,0.6478077,0.6461674,0.6332276,0.7228947,0.6694043
