ROI,N57437,N57442,N57446,N57447,N57449,N57451,N57496,N57498,N57500,N57502,N57513,N57515,N57518,N57520,N57522,N57546,N57548,N57550,N57552,N57554,N57559,N57580,N57582,N57584,N57587,N57590,N57692,N57694,N57700,N57702,N57709
0,0.3956551,0.3886894,0.392502,0.360206,0.3865039,0.3500358,0.3493397,0.3726528,0.3602842,0.3799425,0.3822146,0.3752702,0.3706115,0.3578771,0.3576545,0.3493043,0.3748723,0.3709755,0.3890581,0.3488808,0.3827194,0.3833534,0.334157,0.3332645,0.3794337,0.3784018,0.3871263,0.3442935,0.3753401,0.336286,0.361818
1,0.2999277,0.256559,0.2927578,0.2997152,0.2939222,0.2857172,0.3152649,0.2875207,0.31083,0.3056172,0.2973432,0.2947196,0.2843772,0.2738895,0.2814497,0.2928031,0.3060541,0.2995229,0.2812861,0.2935772,0.2552326,0.2740732,0.2980855,0.3226961,0.2735546,0.2756191,0.291517,0.3163689,0.2686933,0.2933846,0.2891385
2,0.2916614,0.2493219,0.2826766,0.2857694,0.2782018,0.2823971,0.307638,0.2902838,0.2953031,0.3074127,0.2681923,0.2814578,0.2779905,0.2802621,0.2789171,0.285159,0.2848631,0.2703633,0.2657706,0.2538067,0.2671789,0.2444924,0.2528727,0.2805381,0.2472506,0.2646691,0.2619774,0.2907099,0.2415785,0.2798362,0.2896904
3,0.2099742,0.1755425,0.2084838,0.2120787,0.2130301,0.2030265,0.2124137,0.1843965,0.2076843,0.2177565,0.2069026,0.2028542,0.1981391,0.1962523,0.202949,0.196747,0.2177285,0.2012695,0.1838668,0.1802012,0.1866896,0.1791932,0.1951021,0.1934329,0.1894343,0.193862,0.1864002,0.2068818,0.1754701,0.2133879,0.2033811
4,0.2270562,0.1787716,0.2163797,0.2124346,0.1946484,0.2143361,0.2189407,0.1853476,0.2097477,0.2320174,0.2203037,0.1914719,0.204123,0.1943407,0.1962854,0.2151062,0.209523,0.1951764,0.1893322,0.1751324,0.1976067,0.1817838,0.1888997,0.1878037,0.191956,0.1892692,0.1868772,0.2253181,0.1827753,0.2345134,0.2114577
5,0.2442068,0.2294625,0.2937315,0.2689036,0.2522091,0.2576814,0.2625367,0.2550973,0.2710337,0.2581652,0.2641539,0.2691777,0.2558765,0.2545272,0.2310498,0.2744074,0.2476048,0.2395924,0.2556183,0.2496419,0.2423013,0.2563095,0.2532378,0.272584,0.2503522,0.2061895,0.2564885,0.2600683,0.2442941,0.2718839,0.2505548
6,0.2288662,0.1960979,0.228874,0.2271548,0.2151625,0.242514,0.2360045,0.2244887,0.2172115,0.2147622,0.2077351,0.2350467,0.2222765,0.2113379,0.2187842,0.2296949,0.2279239,0.2025924,0.2152027,0.207734,0.2015464,0.1837041,0.2081462,0.2263725,0.1992739,0.1989027,0.2408297,0.2333337,0.1929478,0.2214027,0.2493631
7,0.3113398,0.2867197,0.3253512,0.3242345,0.3110855,0.3049531,0.3352955,0.2919155,0.3180842,0.3372825,0.3136597,0.3110461,0.2915661,0.3084319,0.2983387,0.3161452,0.3153205,0.2917688,0.2867089,0.2939641,0.3004418,0.2871259,0.2772686,0.2902568,0.273723,0.3057989,0.2786818,0.3156191,0.2802536,0.3282854,0.3156786
8,0.2341477,0.194503,0.2216368,0.2238307,0.223337,0.231774,0.2092697,0.2013389,0.2182281,0.2174436,0.2257436,0.2175911,0.2101981,0.2106543,0.2165257,0.2229265,0.2193912,0.1967065,0.197339,0.204975,0.1987577,0.1918829,0.1956361,0.199841,0.1968251,0.1907775,0.1965065,0.2119941,0.2007483,0.2205719,0.2218001
9,0.1745104,0.1482981,0.1769392,0.1763773,0.1798104,0.1737872,0.1787828,0.1754868,0.1721524,0.1754584,0.1726127,0.1696423,0.1612836,0.1714997,0.1672949,0.1768892,0.1833888,0.1688619,0.1745713,0.1648508,0.1680666,0.173214,0.1838334,0.1896305,0.1642255,0.1606554,0.1961387,0.1808669,0.1600609,0.1828187,0.1599931
